"sample","strain","sex","letter","concordance"
"X.129S1.SvImJxPWK.PhJ.F1f040","(129S1/SvImJxPWK/PhJ)F1","f","CG",0.999240502701231
"X.129S1.SvImJxPWK.PhJ.F1f040.1","(129S1/SvImJxPWK/PhJ)F1","f","CG",0.99922588414066
"X.129S1.SvImJxPWK.PhJ.F1m037","(129S1/SvImJxPWK/PhJ)F1","m","CG",0.999268607486018
"X.129S1.SvImJxWSB.EiJ.F1f0013","(129S1/SvImJxWSB/EiJ)F1","f","CH",0.999543587403012
"X.129S1.SvImJxWSB.EiJ.F1m0006","(129S1/SvImJxWSB/EiJ)F1","m","CH",0.999629392060438
"X.NOD.ShiLtJxA.J.F1f0018","(NOD/ShiLtJxA/J)F1","f","DA",0.999786413020262
"X.NOD.ShiLtJxA.J.F1m15515","(NOD/ShiLtJxA/J)F1","m","DA",0.999786333917354
"X.NOD.ShiLtJxC57BL.6J.F1f0529","(NOD/ShiLtJxC57BL/6J)F1","f","DB",0.999671855159721
"X.NOD.ShiLtJxC57BL.6J.F1m0525","(NOD/ShiLtJxC57BL/6J)F1","m","DB",0.999629845816546
"X.NOD.ShiLtJxC57BL.6J.F1m0525.1","(NOD/ShiLtJxC57BL/6J)F1","m","DB",0.999615658362989
"X.NOD.ShiLtJx129S1.SvImJ.F1f0045","(NOD/ShiLtJx129S1/SvImJ)F1","f","DC",0.999658518539598
"X.NOD.ShiLtJx129S1.SvImJ.F1m0030","(NOD/ShiLtJx129S1/SvImJ)F1","m","DC",0.999672243280987
"X.NOD.ShiLtJx129S1.SvImJ.F1m0030.1","(NOD/ShiLtJx129S1/SvImJ)F1","m","DC",0.999672499964402
"NOD.ShiLtJf0713","NOD/ShiLtJ","f","DD",0.999968555931138
"NOD.ShiLtJf0713.1","NOD/ShiLtJ","f","DD",0.999971588487655
"NOD.ShiLtJf0713.2","NOD/ShiLtJ","f","DD",0.999971545640792
"NOD.ShiLtJf0713.3","NOD/ShiLtJ","f","DD",0.999971585662125
"NOD.ShiLtJm0150","NOD/ShiLtJ","m","DD",0.999971596960875
"NOD.ShiLtJm1214","NOD/ShiLtJ","m","DD",0.999985786369128
"NOD.ShiLtJm35324","NOD/ShiLtJ","m","DD",0.999928795215038
"NOD.ShiLtJm39173","NOD/ShiLtJ","m","DD",0.999985786773171
"X.NOD.ShiLtJxNZO.HILtJ.F1f0001","(NOD/ShiLtJxNZO/HILtJ)F1","f","DE",0.999772034308837
"X.NOD.ShiLtJxNZO.HILtJ.F1m0004","(NOD/ShiLtJxNZO/HILtJ)F1","m","DE",0.999772147932955
"X.NOD.ShiLtJxCAST.EiJ.F1m","(NOD/ShiLtJxCAST/EiJ)F1","m","DF",0.999267683294564
"X.NOD.ShiLtJxCAST.EiJ.F1m.1","(NOD/ShiLtJxCAST/EiJ)F1","m","DF",0.999138747739213
"X.NOD.ShiLtJxPWK.PhJ.F1m004","(NOD/ShiLtJxPWK/PhJ)F1","m","DG",0.999110358582887
