Index	Name	ID	Gender	Plate	Well	Group	Parent1	Parent2	Replicate	SentrixPosition
231	37398m7491	37398m7491	Unknown	49004	G5					10004312029_R09C01
232	37420m9441	37420m9441	Unknown	49004	H5					10004312029_R09C02
233	8008x8016f30	8008x8016f30	Unknown	49004	A6					10004312025_R11C01
234	8002x3032f78	8002x3032f78	Unknown	49004	B6					10004312025_R11C02
235	16912x5306f3	16912x5306f3	Unknown	49004	C6					10004312026_R11C01
236	8036x5833f19	8036x5833f19	Male	49004	D6					10004312026_R11C02
237	867x8027f7	867x8027f7	Unknown	49004	E6					10004312028_R11C01
238	10570m4381	10570m4381	Unknown	49004	F6					10004312028_R11C02
239	32829m5491	32829m5491	Unknown	49004	G6					10004312029_R11C01
240	37360m9016	37360m9016	Unknown	49004	H6					10004312029_R11C02
241	8026x8042f3	8026x8042f3	Unknown	49004	A7					10004312025_R02C01
242	8004x8043f93	8004x8043f93	Unknown	49004	B7					10004312025_R02C02
243	8043x16513f11	8043x16513f11	Unknown	49004	C7					10004312026_R02C01
244	8027x477f5	8027x477f5	Unknown	49004	D7					10004312026_R02C02
245	8021x8033f1	8021x8033f1	Unknown	49004	E7					10004312028_R02C01
246	31765m4814	31765m4814	Unknown	49004	F7					10004312028_R02C02
247	37135m7851	37135m7851	Unknown	49004	G7					10004312029_R02C01
248	37151m9049	37151m9049	Unknown	49004	H7					10004312029_R02C02
249	8042x8008f1	8042x8008f1	Unknown	49004	A8					10004312025_R04C01
250	8010x16441f55	8010x16441f55	Unknown	49004	B8					10004312025_R04C02
251	16750x8021f1	16750x8021f1	Unknown	49004	C8					10004312026_R04C01
252	16557x8048f1	16557x8048f1	Unknown	49004	D8					10004312026_R04C02
253	8056x16680f3	8056x16680f3	Unknown	49004	E8					10004312028_R04C01
254	11679m4874	11679m4874	Unknown	49004	F8					10004312028_R04C02
255	37397m7428	37397m7428	Unknown	49004	G8					10004312029_R04C01
256	239m7345	239m7345	Unknown	49004	H8					10004312029_R04C02
257	8016x8034f98	8016x8034f98	Unknown	49004	A9					10004312025_R06C01
258	16513x16188f19	16513x16188f19	Unknown	49004	B9					10004312025_R06C02
259	5035x13421f2	5035x13421f2	Unknown	49004	C9					10004312026_R06C01
260	5489x3415f19	5489x3415f19	Unknown	49004	D9					10004312026_R06C02
261	5346x559f4	5346x559f4	Unknown	49004	E9					10004312028_R06C01
262	133m45832	133m45832	Unknown	49004	F9					10004312028_R06C02
263	37368m8069	37368m8069	Unknown	49004	G9					10004312029_R06C01
264	11531m8014	11531m8014	Unknown	49004	H9					10004312029_R06C02
265	13140x3015f73	13140x3015f73	Unknown	49004	A10					10004312025_R08C01
266	8018x5080f1	8018x5080f1	Unknown	49004	B10					10004312025_R08C02
267	3393x8036f3	3393x8036f3	Unknown	49004	C10					10004312026_R08C01
268	5248x5391f1	5248x5391f1	Unknown	49004	D10					10004312026_R08C02
269	4410x8054f1	4410x8054f1	Unknown	49004	E10					10004312028_R08C01
270	14111m5128	14111m5128	Unknown	49004	F10					10004312028_R08C02
271	37340m7631	37340m7631	Unknown	49004	G10					10004312029_R08C01
272	37361m9666	37361m9666	Unknown	49004	H10					10004312029_R08C02
273	8005x8024f27	8005x8024f27	Unknown	49004	A11					10004312025_R10C01
274	3609x8018f3	3609x8018f3	Unknown	49004	B11					10004312025_R10C02
275	8031x3609f4	8031x3609f4	Unknown	49004	C11					10004312026_R10C01
276	8046x773f2	8046x773f2	Unknown	49004	D11					10004312026_R10C02
277	8054x5346f5	8054x5346f5	Unknown	49004	E11					10004312028_R10C01
278	37370m7413	37370m7413	Unknown	49004	F11					10004312028_R10C02
279	37350m7058	37350m7058	Unknown	49004	G11					10004312029_R10C01
280	37087m9339	37087m9339	Unknown	49004	H11					10004312029_R10C02
281	1566x8002f59	1566x8002f59	Unknown	49004	A12					10004312025_R12C01
282	8034x8010f10	8034x8010f10	Unknown	49004	B12					10004312025_R12C02
283	8052x5489f1	8052x5489f1	Unknown	49004	C12					10004312026_R12C01
284	5391x867f1	5391x867f1	Unknown	49004	D12					10004312026_R12C02
285	16680x5248m1	16680x5248m1	Unknown	49004	E12					10004312028_R12C01
286	37371m7408	37371m7408	Unknown	49004	F12					10004312028_R12C02
287	37093m8723	37093m8723	Unknown	49004	G12					10004312029_R12C01
288	MPR497	MPR497	Unknown	49004	H12					10004312029_R12C02
289	AA_0374_F	AA_0374_F	Unknown	49005	A1					10004312002_R01C01
290	BB_1430_F	BB_1430_F	Unknown	49005	B1					10004312002_R01C02
291	DD_225_F	DD_225_F	Unknown	49005	C1					10004312004_R01C01
292	EE_0588_F	EE_0588_F	Unknown	49005	D1					10004312004_R01C02
293	GG_1085_F	GG_1085_F	Unknown	49005	E1					10004312006_R01C01
294	HH_160_U	HH_160_U	Unknown	49005	F1					10004312006_R01C02
295	AD_15423_F	AD_15423_F	Unknown	49005	G1					10004312013_R01C01
296	AG_006_M	AG_006_M	Unknown	49005	H1					10004312013_R01C02
297	AA_0417_M	AA_0417_M	Unknown	49005	A2					10004312002_R03C01
298	BB_8850_F	BB_8850_F	Unknown	49005	B2					10004312002_R03C02
299	DD_1214_M	DD_1214_M	Unknown	49005	C2					10004312004_R03C01
300	EE_0591_M	EE_0591_M	Unknown	49005	D2					10004312004_R03C02
301	GG_1090_M	GG_1090_M	Unknown	49005	E2					10004312006_R03C01
